CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name

=== Aggregate Counters ==============================================================================================================================

         4x                         |        0.0s                                     | ADD_MAPPED_FLOPS
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | CASESPLIT
         0x                         |        0.0s                                     | CASE_SPLIT
         0x                         |        0.0s                                     | CCORE_VALID_REMOVAL
       259x                         |        2.4s        0.0s                         | CGEN_BIT_BLAST
       542x                         |        1.2s        0.0s                         | CGEN_GENERATE_COMPONENT
      5064x                         |        0.0s        0.0s                         | CMDs
         1x                         |        0.0s                                     | CPC
         4x                         |        0.0s        0.0s                         | CXPlayback
         1x                         |        0.0s                                     | CX_FLOW
         0x                         |        0.0s                                     | ExprManager
         0x                         |        0.0s                                     | ExtSEQ
        29x                         |        0.1s        0.0s                         | FUNC_ANAL
        14x                         |        2.2s        0.5s                         | FuncAnal
        58x                         |        1.5s        0.1s                         | GOTH
         1x                         |        0.0s        0.0s                         | GetCandidates
         0x                         |        0.0s                                     | HS
        58x         58x          0x |      346.1s       17.3s      346.1s        0.0s | L3_SAT_SOLVER_TIME_EXTSEQ
         5x          5x          0x |        0.0s        0.0s        0.0s        0.0s | L3_SIM_COUNT
         4x          4x          0x |        0.6s        0.4s        0.6s        0.0s | L3_SIM_TIME
         1x                         |        0.0s                                     | MAPS_INTERMEDIATE
        32x                         |        0.0s                                     | MAPS_OUTPUT
         4x                         |        0.0s                                     | MAP_1T_CX
       262x                         |        0.3s        0.0s                         | OPT_CONST_PROP
       262x                         |        0.3s        0.0s                         | OPT_CSE
       262x                         |        0.2s        0.0s                         | OPT_DEAD_CODE
         3x                         |        0.0s        0.0s                         | OPT_NOR_MUX
         3x                         |        0.2s        0.1s                         | OPT_RPIC
         3x                         |        0.0s        0.0s                         | OPT_UF_CONST_PROP
         3x                         |        0.0s        0.0s                         | OPT_UF_DEAD_CODE1
         2x                         |        0.0s        0.0s                         | OPT_UF_PRE_DEAD_CODE
         3x                         |        0.0s        0.0s                         | OPT_UF_STR_REDUX
         3x                         |        0.1s        0.1s                         | OPT_WLE
         1x                         |        0.0s        0.0s                         | PENMGR_init_check
         1x                         |        0.0s                                     | PENMgrNew
         1x                         |        0.0s        0.0s                         | PEN_TIME_init_check
         4x                         |        9.5s        6.7s                         | PLAY
        15x                         |        3.0s        0.5s                         | PerformAlwaysGoodXforms
         2x                         |        0.6s        0.6s                         | SBV
         1x                         |      355.1s      355.1s                         | SEQ
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | SOLS
         1x                         |        0.0s                                     | SPEC_REDUX
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | SRF
         1x                         |      348.4s      348.4s                         | SeqSAT
        58x                         |       16.9s        0.5s                         | SolverCacheNormalization
         1x                         |        0.0s                                     | TBGEN_FLAT
         0x                         |        0.0s                                     | TRANS_CONST
         1x          1x          0x |        1.3s        1.3s        1.3s        0.0s | Transform1TU
         1x          1x          0x |        1.3s        1.3s        1.3s        0.0s | Transform1TUXForm1
         2x          1x          0x |      355.1s      355.1s      355.1s        0.0s | VERIFY
         1x                         |        0.0s                                     | VerifyEquivalenceOld
         1x                         |        0.0s        0.0s                         | __add_independent_clock_enables
         1x                         |        0.0s        0.0s                         | __apply_always_constant
         6x                         |        0.0s        0.0s                         | __cdb_exists
         2x                         |        0.0s        0.0s                         | __has_inout
         2x                         |        0.0s        0.0s                         | __process_hier_power_models
         1x                         |        0.0s        0.0s                         | __process_independent_clock_enables
