#+-----------------------------------------------------------------------------------+
#|                                                                                   |
#| Generated by SLEC-design-checking-10.5c/892744  (Aug 23 2020)  linux64  S2008232321|
#| on Sat Sep 11 23:59:57 2021.                                                      |
#|                                                                                   |
#| Restrictions concerning the use of Mentor Graphics Corporation SLEC               |
#| are covered in the license agreement. Distribution to third party                 |
#| is strictly prohibited.                                                           |
#|                                                                                   |
#+-----------------------------------------------------------------------------------+

     [CPT-RBDF]   Reading SystemC files into the 'spec' design library.
     [UI-BDS]     CPU usage after read_cpp = 6.585u 0.517s 7.102 0:12.000
     [UI-BDS]     MEM usage after read_cpp = 77.034m 180.922p
     [UI-BDS]     CPU usage after ignore_system_header_io = 6.705u 0.518s 7.223 0:13.000
     [UI-BDS]     MEM usage after ignore_system_header_io = 76.785m 180.922p
     [UI-BDS]     CPU usage after cross_file_link = 7.838u 0.518s 8.356 0:14.000
     [UI-BDS]     MEM usage after cross_file_link = 76.937m 180.922p
     [UI-BDS]     CPU usage after canonize_cpt_for_cpp = 7.929u 0.519s 8.448 0:14.000
     [UI-BDS]     MEM usage after canonize_cpt_for_cpp = 77.461m 180.922p
     [UI-BDS]     CPU usage after mark_loop_as_unroll_in_compiler_generated_functions = 7.931u 0.519s 8.451 0:14.000
     [UI-BDS]     MEM usage after mark_loop_as_unroll_in_compiler_generated_functions = 77.462m 180.922p
     [UI-BDS]     CPU usage after mark_loop_in_acinit_array_as_unrolled = 7.936u 0.521s 8.457 0:14.000
     [UI-BDS]     MEM usage after mark_loop_in_acinit_array_as_unrolled = 77.462m 180.922p
     [UI-BDS]     CPU usage after handle_systemc_constructs = 8.494u 0.521s 9.015 0:14.000
     [UI-BDS]     MEM usage after handle_systemc_constructs = 68.558m 180.922p
     [UI-BDS]     CPU usage after handle_ac_sc_constructs_natively = 8.722u 0.523s 9.245 0:15.000
     [UI-BDS]     MEM usage after handle_ac_sc_constructs_natively = 68.124m 180.922p
     [UI-BDS]     CPU usage after const_fold = 8.734u 0.526s 9.260 0:15.000
     [UI-BDS]     MEM usage after const_fold = 68.124m 180.922p
     [UI-BDS]     CPU usage after xform_user_asserts = 8.751u 0.527s 9.278 0:15.000
     [UI-BDS]     MEM usage after xform_user_asserts = 68.124m 180.922p
     [UI-BDS]     CPU usage after cleanup = 8.865u 0.528s 9.393 0:15.000
     [UI-BDS]     MEM usage after cleanup = 50.324m 180.922p
     [UI-BDS]     CPU usage after replace_missing_assign_op_with_assignment = 8.866u 0.528s 9.394 0:15.000
     [UI-BDS]     MEM usage after replace_missing_assign_op_with_assignment = 50.325m 180.922p
     [UI-BDS]     CPU usage after transfer_pragmas_to_properties = 8.867u 0.528s 9.395 0:15.000
     [UI-BDS]     MEM usage after transfer_pragmas_to_properties = 50.325m 180.922p
     [UI-BDS]     CPU usage after handle_acchannel_size = 8.868u 0.528s 9.396 0:15.000
     [UI-BDS]     MEM usage after handle_acchannel_size = 50.326m 180.922p
     [UI-BDS]     CPU usage after remove_bottom_hier_ctor_from_top = 8.868u 0.528s 9.397 0:15.000
     [UI-BDS]     MEM usage after remove_bottom_hier_ctor_from_top = 50.326m 180.922p
     [UI-BDS]     CPU usage after transfer_array_size_from_parent_to_child_hierarchy = 8.868u 0.529s 9.397 0:15.000
     [UI-BDS]     MEM usage after transfer_array_size_from_parent_to_child_hierarchy = 50.326m 180.922p
     [UI-BDS]     CPU usage after identify_accumulators = 8.872u 0.530s 9.402 0:15.000
     [UI-BDS]     MEM usage after identify_accumulators = 50.635m 180.922p
     [UI-BDS]     CPU usage after remove_trailing_stmts_after_jump_stmts = 8.883u 0.530s 9.413 0:15.000
     [UI-BDS]     MEM usage after remove_trailing_stmts_after_jump_stmts = 50.634m 180.922p
     [UI-BDS]     CPU usage after convert_types = 8.887u 0.530s 9.417 0:15.000
     [UI-BDS]     MEM usage after convert_types = 50.634m 180.922p
     [UI-BDS]     CPU usage after normalize_negating_exprs = 8.890u 0.530s 9.420 0:15.000
     [UI-BDS]     MEM usage after normalize_negating_exprs = 50.615m 180.922p
     [UI-BDS]     CPU usage after create_cdb_symbols = 8.890u 0.530s 9.420 0:15.000
     [UI-BDS]     MEM usage after create_cdb_symbols = 50.618m 180.922p
     [UI-BDS]     CPU usage after add_missing_default_ctor_for_static_objects = 8.890u 0.531s 9.421 0:15.000
     [UI-BDS]     MEM usage after add_missing_default_ctor_for_static_objects = 50.618m 180.922p
     [UI-BDS]     CPU usage after handle_cpp_initializations = 8.890u 0.532s 9.422 0:15.000
     [UI-BDS]     MEM usage after handle_cpp_initializations = 50.619m 180.922p
     [UI-BDS]     CPU usage after create_init_for_uninitialized_global_ctype_decls = 8.891u 0.532s 9.423 0:15.000
     [UI-BDS]     MEM usage after create_init_for_uninitialized_global_ctype_decls = 50.619m 180.922p
     [UI-BDS]     CPU usage after remove_init_for_symbolic_memories = 8.894u 0.532s 9.426 0:15.000
     [UI-BDS]     MEM usage after remove_init_for_symbolic_memories = 48.869m 180.922p
     [UI-BDS]     CPU usage after blast_floating_point_array_access = 8.894u 0.532s 9.426 0:15.000
     [UI-BDS]     MEM usage after blast_floating_point_array_access = 48.869m 180.922p
     [UI-BDS]     CPU usage after convert_init_stmt_to_cpp_init_block = 8.896u 0.532s 9.428 0:15.000
     [UI-BDS]     MEM usage after convert_init_stmt_to_cpp_init_block = 48.886m 180.922p
     [UI-BDS]     CPU usage after transform_init_block = 8.897u 0.532s 9.429 0:15.000
     [UI-BDS]     MEM usage after transform_init_block = 48.887m 180.922p
     [UI-BDS]     CPU usage after simplified_upscope_static_var_decls = 8.897u 0.532s 9.429 0:15.000
     [UI-BDS]     MEM usage after simplified_upscope_static_var_decls = 48.887m 180.922p
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 9 seconds [+21MB, +148MB, +8s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Started do_design_checks
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 9 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 8.898u 0.532s 9.430 0:15.000
     [UI-BDS]     MEM usage after do_design_checks = 48.889m 180.922p
     [UI-BDS]     CPU usage after prune_parallel_selects = 8.898u 0.532s 9.431 0:15.000
     [UI-BDS]     MEM usage after prune_parallel_selects = 48.889m 180.922p
     [UI-BDS]     CPU usage after upscope_for_loop_init = 8.899u 0.533s 9.432 0:15.000
     [UI-BDS]     MEM usage after upscope_for_loop_init = 48.887m 180.922p
     [UI-BDS]     CPU usage after generate_temp_for_cpp = 8.902u 0.533s 9.435 0:15.000
     [UI-BDS]     MEM usage after generate_temp_for_cpp = 48.931m 180.922p
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 9 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Started do_design_checks
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 9 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 8.916u 0.534s 9.449 0:15.000
     [UI-BDS]     MEM usage after do_design_checks = 49.167m 180.922p
